t,I,R,D
0,0.0266,0,0
1,0.0306,0,0
2,0.0381,0,0
3,0.0435,0,0
4,0.0522,0.0004,0.0006
5,0.0694,0.0004,0.0006
6,0.0902,0.0004,0.0007
7,0.1018,0.0004,0.0007
8,0.1208,0.0004,0.0007
9,0.1394,0.0004,0.0007
10,0.1605,0.0004,0.0008
11,0.1779,0.0004,0.0008
12,0.1906,0.0004,0.0008
13,0.202,0.0004,0.0008
14,0.2168,0.0004,0.001
15,0.2284,0.0004,0.001
16,0.2373,0.0004,0.0012
17,0.2477,0.0004,0.0012
18,0.256,0.0004,0.0016
19,0.2614,0.0004,0.0019
20,0.2661,0.0004,0.0021
21,0.2709,0.0004,0.0021
22,0.2748,0.0004,0.0021
23,0.2796,0.0004,0.0022
24,0.283,0.0004,0.0023
25,0.2827,0.0004,0.0023
26,0.2834,0.0004,0.0025
27,0.2841,0.0004,0.0025
28,0.2857,0.0004,0.0025
29,0.2868,0.0004,0.0025
30,0.1545,0.1356,0.0025
31,0.1553,0.1356,0.0027
32,0.1574,0.1355,0.0028
33,0.1579,0.1356,0.0028
34,0.1185,0.1755,0.0029
35,0.1014,0.1926,0.0031
36,0.0938,0.2006,0.0032
37,0.0893,0.2056,0.0033
38,0.0767,0.2193,0.0034
39,0.076,0.2208,0.0034
40,0.0743,0.2227,0.0034
41,0.0727,0.2243,0.0039
42,0.071,0.2266,0.004
43,0.0692,0.2284,0.004
44,0.0691,0.2293,0.0041
45,0.069,0.23,0.0041
46,0.0687,0.2306,0.0042
47,0.0663,0.2328,0.0042
48,0.0642,0.2349,0.0044
49,0.0574,0.2424,0.0044
50,0.0537,0.2463,0.0044
51,0.0517,0.2486,0.0044
52,0.0503,0.2504,0.0044
53,0.0494,0.2515,0.0044
54,0.0492,0.2517,0.0044
55,0.0466,0.2543,0.0044
56,0.0443,0.2571,0.0045
57,0.0423,0.2595,0.0045
58,0.0421,0.2605,0.0045
59,0.0418,0.2611,0.0045
60,0.0418,0.2612,0.0045
61,0.0418,0.2612,0.0046
62,0.0417,0.2614,0.0047
63,0.0403,0.2631,0.0047
64,0.0387,0.2648,0.0047
65,0.0388,0.2648,0.0048
66,0.0385,0.2653,0.0048
67,0.0386,0.2653,0.0048
68,0.0386,0.2656,0.0048
69,0.0383,0.2661,0.0048
70,0.0378,0.2663,0.0048
71,0.0372,0.267,0.0048
72,0.0378,0.2666,0.0048
73,0.0361,0.2683,0.0048
74,0.0362,0.2685,0.0048
75,0.0365,0.2685,0.0048
76,0.0369,0.2687,0.0048
77,0.0365,0.2691,0.0048
78,0.0358,0.27,0.0048
79,0.0348,0.2714,0.0048
80,0.0343,0.2719,0.0048
81,0.0338,0.2723,0.0048
82,0.034,0.2724,0.0048
83,0.0337,0.2729,0.0048
84,0.0334,0.2735,0.0048
85,0.0331,0.2738,0.0048
86,0.0325,0.2743,0.0048
87,0.0308,0.2763,0.0048
88,0.0314,0.2766,0.0048
89,0.0317,0.2766,0.0048
90,0.0318,0.2768,0.0048
91,0.0317,0.277,0.0048
92,0.0319,0.277,0.0048
93,0.0325,0.277,0.0048
94,0.0325,0.2771,0.0048
95,0.033,0.2771,0.0048
96,0.0332,0.2771,0.0048
97,0.0331,0.2771,0.0048
98,0.034,0.2771,0.0048
99,0.0337,0.2776,0.0049
100,0.0337,0.2782,0.0049
101,0.0341,0.2784,0.0049
102,0.0344,0.2784,0.0049
103,0.0351,0.2784,0.0049
104,0.0356,0.2784,0.0049
105,0.0367,0.2787,0.0049
106,0.0375,0.2787,0.0049
107,0.0562,0.2789,0.0049
108,0.0568,0.2788,0.0049
109,0.0571,0.2799,0.0049
110,0.0581,0.2799,0.0049
111,0.0586,0.2798,0.0049
112,0.0594,0.2797,0.0049
113,0.0607,0.2797,0.0049
114,0.062,0.2798,0.0049
115,0.0626,0.2799,0.0049
116,0.063,0.2799,0.0049
117,0.0644,0.2799,0.0049
118,0.0657,0.2799,0.0049
119,0.0669,0.2799,0.0049
120,0.0679,0.2799,0.0049
121,0.0687,0.2799,0.0049
122,0.0702,0.2799,0.0049
123,0.072,0.2799,0.0049
124,0.074,0.2799,0.0049
125,0.0751,0.2799,0.0049
126,0.0766,0.2799,0.0049
127,0.0785,0.2799,0.0049
128,0.0792,0.2799,0.0049
129,0.0806,0.2799,0.0049
130,0.082,0.2799,0.0049
131,0.0836,0.28,0.0049
132,0.085,0.28,0.0049
133,0.0869,0.28,0.0049
134,0.0887,0.28,0.0049
135,0.0907,0.28,0.0049
136,0.0924,0.28,0.0049
137,0.0932,0.2802,0.005
138,0.0945,0.2802,0.005
139,0.0956,0.2803,0.005
140,0.0965,0.2805,0.005
141,0.0977,0.2805,0.005
142,0.0987,0.2805,0.005
143,0.0996,0.2805,0.005
144,0.1006,0.2805,0.005
145,0.102,0.2805,0.005
146,0.1042,0.2805,0.005
147,0.106,0.2805,0.005
