t,I,R,D
0,0.0121,0,0
1,0.015,0,0
2,0.0178,0,0
3,0.0229,0,0
4,0.0226,0.007,0
5,0.0258,0.0097,0
6,0.0278,0.0133,0
7,0.0338,0.0128,0
8,0.0368,0.0149,0.0003
9,0.0399,0.0172,0.0003
10,0.0491,0.0191,0.0003
11,0.0572,0.0193,0.0004
12,0.0569,0.0248,0.0004
13,0.0622,0.0291,0.0004
14,0.0621,0.0343,0.0004
15,0.0608,0.0422,0.0006
16,0.0602,0.0476,0.0007
17,0.058,0.0527,0.0008
18,0.0554,0.0573,0.0008
19,0.0528,0.062,0.001
20,0.0494,0.0686,0.0011
21,0.0464,0.0736,0.0012
22,0.041,0.0806,0.0012
23,0.0302,0.0926,0.0013
24,0.0265,0.0986,0.0014
25,0.0239,0.1015,0.0014
26,0.0192,0.1075,0.0014
27,0.0159,0.1118,0.0014
28,0.0148,0.1137,0.0014
29,0.015,0.1137,0.0014
30,0.0129,0.1159,0.0014
31,0.0133,0.1172,0.0014
32,0.0125,0.1188,0.0015
33,0.0118,0.1196,0.0015
34,0.0119,0.1202,0.0015
35,0.0078,0.1243,0.0015
36,0.007,0.1251,0.0016
37,0.0073,0.1254,0.0016
38,0.0068,0.1262,0.0016
39,0.0067,0.1265,0.0017
40,0.0052,0.128,0.0017
41,0.0055,0.1279,0.0017
42,0.0049,0.1287,0.0018
43,0.0052,0.1291,0.0018
44,0.0053,0.1293,0.0018
45,0.0053,0.13,0.0018
46,0.0066,0.13,0.0018
47,0.0078,0.131,0.0018
48,0.0094,0.1311,0.0018
49,0.0101,0.1321,0.0018
50,0.0115,0.1322,0.0018
51,0.0123,0.1327,0.0018
52,0.0125,0.1336,0.0018
53,0.0125,0.1346,0.0018
54,0.0118,0.136,0.0018
55,0.0113,0.1376,0.0018
56,0.0109,0.1385,0.0018
57,0.0117,0.1385,0.0018
58,0.0115,0.1407,0.0018
59,0.0116,0.1417,0.0018
60,0.0123,0.1417,0.0018
61,0.011,0.1439,0.0018
62,0.0101,0.1454,0.0018
63,0.0097,0.1465,0.0018
64,0.009,0.1473,0.0018
65,0.0096,0.1479,0.0018
66,0.0099,0.1484,0.0019
67,0.0086,0.1498,0.0019
68,0.0066,0.152,0.0019
69,0.0058,0.1533,0.0019
70,0.006,0.1539,0.0019
71,0.0065,0.1544,0.0019
72,0.0066,0.1549,0.0019
73,0.0073,0.1553,0.0019
74,0.0073,0.1557,0.0019
75,0.0074,0.156,0.0019
76,0.0081,0.1563,0.0019
77,0.0082,0.1569,0.0019
78,0.0075,0.1584,0.0019
79,0.0076,0.1586,0.0019
80,0.0073,0.1589,0.0019
81,0.0073,0.1593,0.0019
82,0.0073,0.1595,0.0019
83,0.0066,0.1602,0.0019
84,0.0056,0.1616,0.0019
85,0.0059,0.1621,0.0019
86,0.0052,0.1632,0.0019
87,0.0051,0.1641,0.0019
88,0.0044,0.1657,0.0019
89,0.0052,0.1661,0.0019
90,0.0058,0.1664,0.0019
91,0.0072,0.1671,0.0019
92,0.0083,0.1678,0.0019
93,0.0093,0.168,0.0019
94,0.0112,0.1686,0.0019
95,0.0123,0.1694,0.0019
96,0.0134,0.1694,0.0019
97,0.0133,0.1712,0.0019
98,0.0143,0.1721,0.002
99,0.0165,0.1732,0.002
100,0.0185,0.1742,0.002
101,0.0206,0.1761,0.002
102,0.0233,0.1775,0.002
103,0.029,0.1789,0.002
104,0.0323,0.1816,0.002
105,0.0372,0.1839,0.002
106,0.0417,0.1866,0.002
107,0.0442,0.1906,0.002
108,0.0511,0.1938,0.002
109,0.0545,0.1971,0.002
110,0.0646,0.1992,0.0022
111,0.0774,0.2028,0.0022
112,0.0862,0.2058,0.0022
113,0.0934,0.2142,0.0022
114,0.1174,0.2183,0.0022
115,0.1251,0.2286,0.0023
116,0.1486,0.2289,0.0024
117,0.1614,0.2329,0.0024
118,0.1803,0.2395,0.0026
119,0.1933,0.2488,0.0027
120,0.213,0.2591,0.0029
121,0.2464,0.2669,0.0032
122,0.2609,0.2709,0.0035
123,0.2839,0.2819,0.0038
124,0.297,0.2933,0.0039
125,0.3169,0.3078,0.0042
126,0.3511,0.3184,0.0044
127,0.3778,0.3298,0.0049
128,0.3899,0.345,0.0056
129,0.4154,0.3529,0.0061
130,0.443,0.368,0.0071
131,0.4802,0.3817,0.0077
132,0.5029,0.3937,0.0083
133,0.5089,0.4123,0.0092
134,0.5633,0.4259,0.0106
135,0.5985,0.4479,0.0113
136,0.6119,0.4696,0.0116
137,0.6519,0.4915,0.0123
138,0.669,0.5111,0.0136
139,0.6905,0.5283,0.0147
140,0.7449,0.5424,0.0162
141,0.7671,0.5628,0.017
142,0.7857,0.5829,0.0181
143,0.8024,0.6066,0.0193
144,0.8071,0.6378,0.021
145,0.8087,0.6642,0.0228
146,0.8116,0.6889,0.0246
147,0.8108,0.7271,0.0267
