t,I,R,D
0,0.0001,0,0
1,0.0001,0,0
2,0.0001,0,0
3,0.0003,0,0
4,0.0003,0,0
5,0.0009,0,0
6,0.0014,0,0
7,0.0018,0.0001,0
8,0.0035,0.0002,0
9,0.005,0.0003,0
10,0.0063,0.0003,0.0001
11,0.0087,0.0004,0.0001
12,0.0099,0.0004,0.0001
13,0.0124,0.0005,0.0001
14,0.0171,0.0006,0.0001
15,0.0202,0.0009,0.0001
16,0.0227,0.0012,0.0002
17,0.0291,0.002,0.0003
18,0.0384,0.0031,0.0004
19,0.0429,0.0043,0.0008
20,0.0421,0.0059,0.001
21,0.0449,0.0077,0.0013
22,0.048,0.011,0.0018
23,0.0544,0.0139,0.0019
24,0.06,0.0174,0.0024
25,0.0675,0.0201,0.0029
26,0.0798,0.0234,0.0033
27,0.0854,0.0267,0.004
28,0.0911,0.0303,0.0054
29,0.0996,0.0342,0.0069
30,0.1048,0.0361,0.0077
31,0.111,0.0385,0.0089
32,0.1203,0.0412,0.0098
33,0.1505,0.0454,0.0103
34,0.1621,0.0497,0.0116
35,0.1818,0.0545,0.0121
36,0.199,0.0599,0.013
37,0.195,0.0694,0.0142
38,0.1922,0.079,0.0149
39,0.1958,0.0869,0.016
40,0.1974,0.0966,0.0172
41,0.2009,0.1043,0.0188
42,0.2158,0.1094,0.0193
43,0.2272,0.115,0.0206
44,0.2365,0.1223,0.0215
45,0.2454,0.1306,0.0225
46,0.2531,0.139,0.0235
47,0.2628,0.1478,0.0244
48,0.271,0.1581,0.0254
49,0.2913,0.1667,0.0269
50,0.3061,0.177,0.028
51,0.3185,0.1864,0.0298
52,0.3302,0.1954,0.0309
53,0.3534,0.2064,0.0322
54,0.3646,0.2192,0.0342
55,0.3855,0.2253,0.0368
56,0.4224,0.2366,0.0381
57,0.4348,0.2499,0.0402
58,0.4652,0.2598,0.0421
59,0.479,0.2746,0.0442
60,0.5116,0.3042,0.0462
61,0.5216,0.3265,0.0486
62,0.5529,0.3423,0.0513
63,0.5944,0.3582,0.0534
64,0.6169,0.3783,0.0553
65,0.6558,0.3945,0.0572
66,0.6831,0.4192,0.0603
67,0.7339,0.433,0.0616
68,0.7752,0.4561,0.063
69,0.8273,0.4699,0.0651
70,0.8647,0.4908,0.0675
71,0.9133,0.5127,0.0695
72,0.9594,0.5281,0.072
73,1.0082,0.5484,0.0748
74,1.0493,0.5683,0.0779
75,1.0977,0.5946,0.081
76,1.1313,0.6232,0.0838
77,1.1809,0.6506,0.0878
78,1.2564,0.6729,0.092
79,1.3218,0.7039,0.0961
80,1.3715,0.7318,0.0989
81,1.4333,0.7679,0.1037
82,1.5056,0.8025,0.1072
83,1.5905,0.8395,0.1113
84,1.6817,0.8762,0.1161
85,1.808,0.9003,0.1213
86,1.744,1.0745,0.126
87,1.8134,1.1131,0.1312
88,1.8011,1.2489,0.137
89,1.8419,1.3516,0.145
90,1.9415,1.4182,0.1509
91,1.9928,1.5063,0.1584
92,2.0734,1.5559,0.165
93,2.0934,1.6503,0.1721
94,2.1317,1.7519,0.1793
95,2.2071,1.8061,0.1875
96,2.2566,1.9121,0.1946
97,2.3784,1.9768,0.2025
98,2.4096,2.0636,0.2104
99,2.5534,2.1341,0.2183
100,2.7228,2.1798,0.2299
101,2.8448,2.2144,0.2399
102,3.0111,2.2654,0.2512
103,3.0561,2.3645,0.2618
104,3.2386,2.4751,0.2744
105,3.4081,2.6022,0.2854
106,3.509,2.7408,0.2967
107,3.6233,2.8987,0.3107
108,3.7824,3.0314,0.3245
109,3.9474,3.1719,0.3371
110,4.0536,3.3306,0.3513
111,4.2004,3.527,0.3653
112,4.4496,3.7256,0.3787
113,4.7171,3.8715,0.3929
114,4.9052,4.0541,0.4061
115,4.9317,4.2304,0.421
116,4.9059,4.4497,0.436
117,5.1806,4.6161,0.4508
118,5.4555,4.7564,0.4679
119,5.6968,4.894,0.486
120,5.9868,5.0411,0.5008
121,6.2325,5.1744,0.5174
122,6.3155,5.4418,0.5359
123,6.6128,5.6419,0.5563
124,6.8757,5.8404,0.576
125,7.2438,6.104,0.5969
126,7.7064,6.387,0.6174
127,8.1195,6.6238,0.6392
128,8.4648,6.8185,0.6599
129,8.9232,7.0782,0.6855
130,9.4153,7.3543,0.7078
131,9.789,7.6609,0.7317
132,10.1478,8.0349,0.7555
133,10.0802,8.4286,0.7835
134,10.1653,8.8958,0.8089
135,10.4666,9.3594,0.833
136,10.7476,9.6873,0.8583
137,11.3498,9.9622,0.8893
138,12.217,10.1969,0.9178
139,12.4139,10.7168,0.9464
140,12.8241,11.2102,0.9753
141,12.9297,11.7985,1.0018
142,12.9582,12.2596,1.0301
143,13.1987,12.9902,1.0584
144,13.9537,13.6441,1.0887
145,14.2753,14.2868,1.1196
146,14.4886,14.9127,1.1532
147,14.5052,15.5325,1.1827
148,14.8061,16.2421,1.2095
149,15.1887,16.8901,1.2348
150,15.3592,17.5446,1.2626
151,15.7975,18.2089,1.2877
152,16.1858,18.8017,1.3112
153,16.5226,19.3896,1.3338
154,16.9084,19.9872,1.3567
155,17.3192,20.5747,1.3805
156,16.9462,21.3685,1.399
157,16.4994,22.1848,1.4165
158,16.2035,23.0432,1.4183
