t,I,R,D
0,0.0002,0,0
1,0.0013,0,0
2,0.0016,0,0
3,0.0024,0,0
4,0.0038,0,0
5,0.0051,0,0
6,0.0062,0,0
7,0.0085,0,0
8,0.0116,0,0
9,0.015,0,0
10,0.0202,0,0
11,0.024,0,0
12,0.0273,0.0001,0
13,0.0401,0.0001,0
14,0.0552,0.0002,0
15,0.0705,0.0004,0
16,0.0923,0.0004,0
17,0.1138,0.0031,0.0001
18,0.1155,0.0031,0.0001
19,0.1247,0.0031,0.0002
20,0.1292,0.0031,0.0003
21,0.1317,0.0031,0.0005
22,0.1344,0.0031,0.0005
23,0.1412,0.0045,0.0005
24,0.1451,0.0045,0.0009
25,0.1531,0.0045,0.0009
26,0.1599,0.0045,0.0011
27,0.1629,0.0045,0.0012
28,0.1691,0.0045,0.0013
29,0.1782,0.0045,0.0018
30,0.1871,0.0045,0.0018
31,0.1569,0.041,0.0024
32,0.1593,0.041,0.0025
33,0.1738,0.041,0.0025
34,0.1835,0.041,0.0027
35,0.1978,0.041,0.0027
36,0.2062,0.041,0.0034
37,0.1654,0.0903,0.0048
38,0.183,0.0903,0.005
39,0.2079,0.0903,0.0052
40,0.2201,0.0903,0.0054
41,0.2187,0.1055,0.0058
42,0.2352,0.1055,0.0058
43,0.2515,0.1055,0.0065
44,0.2405,0.1473,0.0075
45,0.2668,0.1473,0.0079
46,0.2802,0.1473,0.0086
47,0.2986,0.1473,0.0087
48,0.323,0.1473,0.009
49,0.343,0.1473,0.0093
50,0.3174,0.2073,0.0103
51,0.3471,0.2073,0.0103
52,0.3453,0.2382,0.0116
53,0.3664,0.2549,0.0123
54,0.4103,0.2549,0.0131
55,0.4336,0.2746,0.0138
56,0.4678,0.2746,0.0148
57,0.4502,0.3153,0.0153
58,0.4918,0.3153,0.0161
59,0.5564,0.3153,0.0178
60,0.5251,0.3983,0.0186
61,0.5648,0.4173,0.0194
62,0.6089,0.4357,0.0206
63,0.6787,0.4357,0.0206
64,0.711,0.4745,0.0219
65,0.6825,0.5676,0.0238
66,0.7194,0.6083,0.0247
67,0.7616,0.6478,0.0261
68,0.8245,0.7006,0.0264
69,0.8849,0.7298,0.0286
70,0.8928,0.796,0.0312
71,0.8714,0.895,0.0339
72,0.9818,0.895,0.0369
73,0.9624,1.0104,0.0397
74,1.0832,1.0104,0.0407
75,1.1054,1.11,0.0429
76,1.1217,1.1917,0.0481
77,1.0999,1.2741,0.0524
78,1.1934,1.3451,0.0552
79,1.2456,1.437,0.0577
80,1.3536,1.5093,0.0611
81,1.4208,1.6116,0.0643
82,1.5191,1.6809,0.0683
83,1.6361,1.7291,0.0705
84,1.6744,1.8313,0.0755
85,1.7051,1.9682,0.0792
86,1.8633,2.1311,0.0848
87,1.9438,2.3088,0.0908
88,2.0763,2.4258,0.0952
89,2.2923,2.4364,0.0998
90,2.37,2.6099,0.108
91,2.2823,2.9006,0.1162
92,2.2706,3.1505,0.121
93,2.4032,3.3252,0.1284
94,2.5565,3.5008,0.1354
95,2.7463,3.685,0.1423
96,3.0027,3.8531,0.148
97,3.2098,3.9867,0.1568
98,3.2646,4.2063,0.1625
99,3.4395,4.4343,0.1674
100,3.7233,4.492,0.1737
101,3.8059,4.7825,0.1831
102,4.0478,5.0326,0.1877
103,4.3764,5.1608,0.193
104,4.6155,5.3444,0.1991
105,4.8961,5.5045,0.2102
106,5.2717,5.6874,0.2205
107,5.6109,5.9974,0.2292
108,5.8139,6.4111,0.234
109,6.2293,6.7094,0.2413
110,6.6753,6.8925,0.2456
111,7.1121,7.0614,0.2529
112,7.5009,7.3543,0.2657
113,8.0559,7.6025,0.2749
114,8.3218,8.1999,0.2844
115,8.7874,8.6298,0.2952
116,9.3724,9.1227,0.3026
117,10.0236,9.3315,0.3199
118,10.4563,9.7848,0.331
119,11.0054,10.2299,0.3502
120,11.4221,10.6842,0.3602
121,12.1558,11.3061,0.372
122,12.8595,11.8232,0.386
123,13.2498,12.7715,0.3971
124,13.7289,13.4874,0.4079
125,14.5383,13.8241,0.4172
126,14.7667,14.6279,0.4346
127,14.5903,16.0693,0.4453
128,15.3961,16.5591,0.4669
129,15.4607,17.8183,0.4804
130,16.3701,18.223,0.4948
131,16.8236,19.1059,0.5033
132,17.359,19.4865,0.5173
133,16.8286,20.8144,0.5368
134,15.9833,22.9175,0.594
135,16.5699,23.626,0.6093
136,16.9882,24.5771,0.6343
137,16.4491,26.3054,0.6655
138,17.3587,26.5077,0.6769
139,17.0537,27.4925,0.7067
140,16.5191,28.7313,0.7257
141,16.5659,29.7967,0.7497
142,16.4756,30.9601,0.7812
143,15.9007,32.6171,0.8005
144,15.2676,34.2461,0.8153
145,15.5892,34.7227,0.8366
146,15.0286,35.8037,0.8539
147,14.8683,36.3751,0.8884
148,14.3313,37.7266,0.9298
149,14.1264,38.7316,0.9604
150,14.0808,39.4759,0.9909
151,13.841,40.4568,1.021
152,13.8303,41.1147,1.0408
153,13.5777,41.72,1.0621
154,12.9233,42.6125,1.0751
155,12.588,43.2029,1.101
