t,real_I,real_R,real_D
0,0.0002,0,0
1,0.0002,0,0
2,0.0002,0,0
3,0.0002,0,0
4,0.0002,0,0
5,0.0002,0,0
6,0.0003,0,0
7,0.0003,0,0
8,0.0003,0,0
9,0.0003,0,0
10,0.0008,0,0
11,0.0008,0,0
12,0.0008,0,0
13,0.0009,0,0
14,0.0009,0,0
15,0.0001,0.0008,0
16,0.0001,0.0008,0
17,0.0001,0.0008,0
18,0.0001,0.0008,0
19,0.0001,0.0008,0
20,0.0001,0.0008,0
21,0.0001,0.0008,0
22,0.0001,0.0008,0
23,0.0001,0.0008,0
24,0.0005,0.0008,0
25,0.0005,0.0008,0
26,0.0005,0.0008,0
27,0.0007,0.0008,0
28,0.0011,0.0008,0
29,0.0015,0.0008,0
30,0.0027,0.0008,0
31,0.0032,0.0008,0
32,0.0043,0.0008,0
33,0.0077,0.0008,0
34,0.0082,0.0008,0
35,0.0143,0.0018,0.0002
36,0.0186,0.0018,0.0002
37,0.0253,0.0018,0.0002
38,0.0298,0.0018,0.0003
39,0.0349,0.0018,0.0006
40,0.0432,0.0018,0.0006
41,0.0562,0.0018,0.001
42,0.077,0.0018,0.001
43,0.1112,0.0018,0.001
44,0.1087,0.0018,0.0035
45,0.1489,0.0018,0.0036
46,0.1843,0.0052,0.0055
47,0.2503,0.0052,0.0071
48,0.2458,0.0065,0.0104
49,0.3048,0.0079,0.0145
50,0.373,0.0079,0.0177
51,0.4694,0.0093,0.0234
52,0.5309,0.0093,0.0281
53,0.6221,0.0093,0.0336
54,0.7523,0.0135,0.0422
55,0.8936,0.0135,0.0466
56,1.3678,0.0135,0.0766
57,1.5935,0.0135,0.1019
58,1.837,0.0151,0.1237
59,2.0706,0.0151,0.1284
60,2.3182,0.0179,0.1789
61,2.731,0.0179,0.2352
62,3.1016,0.0179,0.2921
63,3.1371,0.0192,0.3605
64,3.7381,0.0209,0.4313
65,4.2657,0.0215,0.4934
66,4.3279,0.0229,0.4943
67,4.8771,0.0312,0.6159
68,4.9454,0.0332,0.6171
69,5.4025,0.0351,0.7111
70,5.752,0.0359,0.7993
71,6.8517,0.0599,0.9875
72,7.3042,0.0625,1.0612
73,7.8042,0.0625,1.0612
74,7.7581,0.0627,1.1346
75,8.4981,0.0627,1.2868
76,8.8737,0.0627,1.3729
77,9.4521,0.0627,1.4606
78,9.9175,0.0627,1.5497
79,10.4446,0.0627,1.6095
80,10.7607,0.0627,1.6509
81,10.8703,0.0603,1.655
82,11.5854,0.064,1.8141
83,11.9752,0.0701,1.879
84,12.3246,0.0712,1.9506
85,12.7321,0.0737,2.0319
86,12.8363,0.0778,2.0428
87,13.2462,0.0781,2.0795
88,13.6386,0.0809,2.1158
89,13.9792,0.0813,2.1745
90,13.9118,0.0857,2.6466
91,14.4778,0.0861,2.6842
92,15.0214,0.0892,2.7583
93,15.4394,0.0901,2.8205
94,15.842,0.0902,2.852
95,16.2113,0.091,2.8809
96,16.3004,0.0926,3.2313
97,16.9089,0.0957,3.2313
98,17.4694,0.097,3.2313
99,18.0312,0.1001,3.1316
100,18.3862,0.1002,3.1662
101,19.1184,0.1002,3.214
102,19.2756,0.1015,3.2692
103,19.6695,0.1025,3.3263
104,19.9707,0.1032,3.3692
105,19.9433,0.1045,3.3963
106,20.5859,0.1049,3.4546
107,20.5857,0.1058,3.4546
108,20.9221,0.1058,3.4716
109,21.1743,0.109,3.4876
110,21.3617,0.1099,3.5422
111,21.4994,0.1116,3.6124
112,21.4988,0.1134,3.6124
113,21.7927,0.1142,3.6475
114,22.0605,0.1149,3.6757
115,22.289,0.1151,3.6875
116,22.8299,0.1161,3.713
117,22.831,0.1162,3.713
118,22.9912,0.1166,3.7542
119,23.1424,0.1168,3.7919
120,23.3199,0.1173,3.8243
121,23.4575,0.1187,3.8458
122,23.6395,0.119,3.8571
123,23.739,0.1221,3.9127
124,23.8904,0.1224,3.9728
125,24.0218,0.1224,3.9828
126,24.1826,0.1224,4.0261
127,24.4514,0.123,4.0548
128,24.4508,0.1239,4.0548
129,24.6906,0.124,4.068
