t,handled_I,handle_R,handel_D
0,0.0001,0,0
1,0.0001,0,0
2,0.0001,0,0
3,0.0002,0,0
4,0.0003,0,0
5,0.0005,0,0
6,0.0005,0,0
7,0.0005,0,0
8,0.0005,0,0
9,0.0006,0,0
10,0.0005,0.0001,0
11,0.0007,0.0001,0
12,0.001,0.0001,0
13,0.001,0.0001,0
14,0.0011,0.0001,0
15,0.0011,0.0001,0
16,0.0011,0.0001,0
17,0.0011,0.0001,0
18,0.0011,0.0001,0
19,0.0011,0.0001,0
20,0.0012,0.0001,0
21,0.0012,0.0001,0
22,0.0014,0.0001,0
23,0.0014,0.0001,0
24,0.0014,0.0001,0
25,0.0014,0.0001,0
26,0.0014,0.0001,0
27,0.0014,0.0001,0
28,0.0014,0.0001,0
29,0.0014,0.0001,0
30,0.0014,0.0001,0
31,0.0033,0.0001,0
32,0.0033,0.0001,0
33,0.0033,0.0001,0
34,0.0052,0.0001,0
35,0.0056,0.0001,0
36,0.0059,0.0001,0
37,0.0059,0.0001,0
38,0.0067,0.0001,0.0001
39,0.008,0.0007,0.0002
40,0.0092,0.0007,0.0006
41,0.011,0.0007,0.0009
42,0.014,0.0009,0.0011
43,0.0213,0.0009,0.0014
44,0.0309,0.0009,0.0017
45,0.0449,0.0009,0.0019
46,0.0538,0.0012,0.0022
47,0.069,0.0012,0.0026
48,0.0961,0.0012,0.0031
49,0.1272,0.0012,0.0038
50,0.1613,0.0012,0.0041
51,0.2161,0.0012,0.005
52,0.2812,0.0012,0.0061
53,0.3693,0.0012,0.0069
54,0.4523,0.0048,0.009
55,0.6388,0.0048,0.0116
56,1.0001,0.0106,0.0152
57,1.3937,0.0108,0.0205
58,1.9209,0.0147,0.0268
59,2.6235,0.0171,0.0341
60,3.4575,0.0178,0.0471
61,4.5679,0.0178,0.0593
62,5.4095,0.0178,0.0768
63,6.7531,0.0616,0.105
64,8.2999,0.1544,0.1297
65,10.1086,0.2072,0.1707
66,11.9954,0.2612,0.2197
67,13.6457,0.4865,0.2514
68,15.5719,0.5896,0.317
69,17.8533,0.7141,0.4079
70,20.2958,0.8672,0.5138
71,23.0287,0.9228,0.6058
72,26.1402,0.9897,0.7159
73,28.8721,1.5021,0.8503
74,31.0698,1.7582,0.9653
75,33.7553,1.9972,1.1008
76,36.4528,2.2539,1.2912
77,39.3512,2.4213,1.4829
78,42.3171,2.6522,1.6703
79,45.3728,2.9192,1.8781
80,47.2557,3.7024,2.0622
81,49.3645,4.2735,2.2146
82,51.9668,4.4319,2.3765
83,53.3066,4.9966,2.6664
84,55.6004,5.2739,3.099
85,58.2671,5.6257,3.3318
86,60.9223,6.0523,3.7086
87,62.9417,6.6854,3.9095
88,64.8857,7.1011,4.0702
89,67.2929,7.3533,4.2458
90,70.5352,7.5682,4.515
91,71.7361,8.405,4.7681
92,75.0544,8.5922,5.0243
93,75.5389,9.912,5.2042
94,78.8469,11.8162,5.4265
95,81.5653,11.8869,5.5499
96,81.5795,13.9419,5.6933
97,83.4035,14.3098,5.9284
98,85.6551,14.7473,6.1715
99,87.9214,15.6089,6.3972
100,90.4158,16.4015,6.5886
101,91.9496,17.5382,6.7505
102,94.3,18.0152,6.8702
103,95.598,18.8069,6.9974
104,96.6315,20.1152,7.2381
105,97.5779,21.3109,7.4817
106,99.9658,21.7251,7.6998
107,102.1721,22.393,7.8701
108,103.1423,23.8081,8.0101
109,76.7322,52.1775,8.0846
110,78.449,52.1775,8.2018
111,80.5789,52.1775,8.3564
112,82.5544,52.1775,8.6056
113,85.0939,52.1775,8.697
114,87.6687,52.1775,8.8603
115,89.7527,52.1775,9.0142
116,91.5416,52.1775,9.0988
117,93.8457,52.1775,9.2072
118,95.5024,52.3496,9.3594
119,97.8378,52.3496,9.5059
120,100.3424,52.3496,9.6432
121,102.7055,52.3496,9.7732
122,104.6291,52.3496,9.8706
123,98.6457,60.3889,9.9381
124,100.5595,60.3889,9.9909
125,102.4429,60.3889,10.0636
126,103.9807,60.3889,10.2107
127,106.3062,60.3889,10.3379
128,108.5099,60.3889,10.4542
129,111.0265,60.3889,10.5634
130,112.8989,60.3889,10.6241
131,113.883,61.5654,10.699
132,112.796,64.6414,10.8104
133,110.4215,68.867,10.9146
134,110.3578,71.2436,11.0255
135,111.9194,73.8734,11.1478
136,112.6425,75.2049,11.2128
137,113.4467,76.1729,11.2596
138,114.336,77.3696,11.3267
139,114.9468,78.8969,11.4379
140,114.8427,80.8556,11.5291
