t,handle_I,handle_R,handle_D
0,0.0502,0.0032,0.0038
1,0.0533,0.004,0.0045
2,0.0593,0.0042,0.0063
3,0.1463,0.0042,0.0085
4,0.1726,0.0075,0.0104
5,0.205,0.0082,0.0129
6,0.2377,0.0103,0.0159
7,0.2884,0.0139,0.0192
8,0.3714,0.0171,0.0224
9,0.4653,0.0224,0.0265
10,0.5768,0.0303,0.0313
11,0.7621,0.0368,0.0362
12,0.9272,0.0431,0.0414
13,1.0606,0.0534,0.0478
14,1.236,0.0698,0.0545
15,1.3497,0.0877,0.0608
16,1.5177,0.1044,0.0681
17,1.65,0.1206,0.0748
18,1.7361,0.1377,0.082
19,3.0043,0.1915,0.1036
20,3.2959,0.2016,0.1016
21,3.4289,0.2502,0.1123
22,3.5314,0.2915,0.1233
23,3.6385,0.3458,0.1309
24,3.7152,0.4219,0.1381
25,3.802,0.4895,0.1497
26,3.7994,0.5448,0.1585
27,3.7448,0.6214,0.1684
28,3.668,0.7206,0.1774
29,3.6232,0.8171,0.1856
30,3.5674,0.8946,0.1987
31,3.4691,1.0337,0.2043
32,3.3563,1.1793,0.2085
33,3.2392,1.3328,0.2104
34,3.0179,1.5826,0.2132
35,2.8836,1.7552,0.2169
36,2.77,1.9227,0.2195
37,2.5903,2.1185,0.2227
38,2.4144,2.3031,0.2251
39,2.2368,2.489,0.2282
40,2.105,2.6316,0.2305
41,2.0115,2.7354,0.2328
42,1.9011,2.8511,0.2349
43,1.7772,2.977,0.237
44,1.6627,3.0933,0.2388
45,1.5732,3.1829,0.2404
46,1.4514,3.3041,0.2423
47,1.3462,3.4094,0.243
48,1.2358,3.5197,0.2436
49,1.1098,3.6451,0.2446
50,0.9911,3.7632,0.2456
51,0.915,3.8384,0.2469
52,0.8304,3.922,0.248
53,0.7483,4.0032,0.249
54,0.6744,4.0765,0.2496
55,0.6118,4.1389,0.2498
56,0.561,4.1891,0.2504
57,0.5143,4.2354,0.2508
58,0.47,4.2788,0.2517
59,0.4268,4.3214,0.2524
60,0.3794,4.3686,0.2526
61,0.3407,4.4068,0.2531
62,0.288,4.4591,0.2535
63,0.2517,4.4951,0.2538
64,0.2045,4.5418,0.2543
65,0.1726,4.5733,0.2547
66,0.1456,4.6002,0.2548
67,0.1279,4.6175,0.2553
68,0.1128,4.632,0.2559
69,0.0983,4.6461,0.2563
70,0.083,4.6611,0.2567
71,0.0644,4.6794,0.257
72,0.0574,4.6863,0.2571
73,0.0515,4.6922,0.2571
74,0.0445,4.6991,0.2572
75,0.0398,4.7036,0.2574
76,0.0348,4.7085,0.2575
77,0.0319,4.7112,0.2577
78,0.0302,4.7129,0.2577
79,0.0243,4.7186,0.2579
80,0.0218,4.7211,0.2579
81,0.0179,4.725,0.2579
82,0.0146,4.7283,0.2579
